,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,PERIOD,EPOCH,AGE / STAGE,Age (Ma),87Sr/86Sr mean,87Sr/8Sr min,87sr/86Sr max,Half-width interval,rate of change,extrapolated
,,Neogene,Miocene ,Tortonian,10.15,0.708889,0.708885,0.708893,4,20,
,,Neogene,Miocene ,Tortonian,10.20,0.708888,0.708884,0.708892,4,20,
,,Neogene,Miocene ,Tortonian,10.25,0.708887,0.708883,0.708891,4,20,
,,Neogene,Miocene ,Tortonian,10.30,0.708886,0.708882,0.708890,4,20,
,,Neogene,Miocene ,Tortonian,10.35,0.708885,0.708881,0.708889,4,19,
,,Neogene,Miocene ,Tortonian,10.40,0.708884,0.708880,0.708888,4,19,
,,Neogene,Miocene ,Tortonian,10.45,0.708883,0.708879,0.708887,4,19,
,,Neogene,Miocene ,Tortonian,10.50,0.708882,0.708878,0.708886,4,19,
,,Neogene,Miocene ,Tortonian,10.55,0.708881,0.708877,0.708885,4,19,
,,Neogene,Miocene ,Tortonian,10.60,0.708880,0.708877,0.708884,4,19,
,,Neogene,Miocene ,Tortonian,10.65,0.708879,0.708876,0.708883,4,19,
,,Neogene,Miocene ,Tortonian,10.70,0.708878,0.708875,0.708882,3,19,
,,Neogene,Miocene ,Tortonian,10.75,0.708877,0.708874,0.708881,3,19,
,,Neogene,Miocene ,Tortonian,10.80,0.708876,0.708873,0.708880,3,19,
,,Neogene,Miocene ,Tortonian,10.85,0.708875,0.708872,0.708879,3,19,
,,Neogene,Miocene ,Tortonian,10.90,0.708875,0.708871,0.708878,3,19,
,,Neogene,Miocene ,Tortonian,10.95,0.708874,0.708870,0.708877,3,19,
,,Neogene,Miocene ,Tortonian,11.00,0.708873,0.708870,0.708876,3,19,
,,Neogene,Miocene ,Tortonian,11.05,0.708872,0.708869,0.708875,3,19,
,,Neogene,Miocene ,Tortonian,11.10,0.708871,0.708868,0.708874,3,18,
,,Neogene,Miocene ,Tortonian,11.15,0.708870,0.708867,0.708873,3,18,
,,Neogene,Miocene ,Tortonian,11.20,0.708869,0.708866,0.708872,3,18,
,,Neogene,Miocene ,Tortonian,11.25,0.708868,0.708865,0.708871,3,18,
,,Neogene,Miocene ,Tortonian,11.30,0.708867,0.708865,0.708870,3,18,
,,Neogene,Miocene ,Tortonian,11.35,0.708866,0.708864,0.708869,2,18,
,,Neogene,Miocene ,Tortonian,11.40,0.708865,0.708863,0.708868,2,18,
,,Neogene,Miocene ,Tortonian,11.45,0.708864,0.708863,0.708866,2,18,
,,Neogene,Miocene ,Tortonian,11.50,0.708864,0.708863,0.708865,1,18,
,,Neogene,Miocene ,Tortonian,11.55,0.708863,0.708862,0.708864,1,18,
,,Neogene,Miocene ,Tortonian,11.60,0.708862,0.708861,0.708863,1,18,
,,Neogene,Miocene ,Tortonian,11.65,0.708861,0.708860,0.708862,1,17,
,,Neogene,Miocene ,Serravallian,11.70,0.708860,0.708859,0.708861,1,16,
,,Neogene,Miocene ,Serravallian,11.75,0.708859,0.708858,0.708860,1,16,
,,Neogene,Miocene ,Serravallian,11.80,0.708858,0.708857,0.708859,1,16,
,,Neogene,Miocene ,Serravallian,11.85,0.708858,0.708856,0.708859,1,16,
,,Neogene,Miocene ,Serravallian,11.90,0.708857,0.708856,0.708858,1,16,
,,Neogene,Miocene ,Serravallian,11.95,0.708856,0.708855,0.708858,1,15,
,,Neogene,Miocene ,Serravallian,12.00,0.708855,0.708854,0.708857,1,15,
,,Neogene,Miocene ,Serravallian,12.05,0.708855,0.708853,0.708856,1,15,
,,Neogene,Miocene ,Serravallian,12.10,0.708854,0.708852,0.708855,2,16,
,,Neogene,Miocene ,Serravallian,12.15,0.708853,0.708851,0.708855,2,16,
,,Neogene,Miocene ,Serravallian,12.20,0.708852,0.708851,0.708854,2,16,
,,Neogene,Miocene ,Serravallian,12.25,0.708851,0.708850,0.708853,2,16,
,,Neogene,Miocene ,Serravallian,12.30,0.708851,0.708849,0.708852,2,16,
,,Neogene,Miocene ,Serravallian,12.35,0.708850,0.708848,0.708852,2,16,
,,Neogene,Miocene ,Serravallian,12.40,0.708849,0.708847,0.708851,2,16,
,,Neogene,Miocene ,Serravallian,12.45,0.708848,0.708846,0.708850,2,16,
,,Neogene,Miocene ,Serravallian,12.50,0.708847,0.708846,0.708849,2,16,
,,Neogene,Miocene ,Serravallian,12.55,0.708847,0.708845,0.708848,2,16,
,,Neogene,Miocene ,Serravallian,12.60,0.708846,0.708844,0.708848,2,16,
,,Neogene,Miocene ,Serravallian,12.65,0.708845,0.708843,0.708847,2,16,
,,Neogene,Miocene ,Serravallian,12.70,0.708844,0.708842,0.708846,2,16,
,,Neogene,Miocene ,Serravallian,12.75,0.708843,0.708842,0.708845,2,16,
,,Neogene,Miocene ,Serravallian,12.80,0.708843,0.708841,0.708844,1,16,
,,Neogene,Miocene ,Serravallian,12.85,0.708842,0.708840,0.708843,1,16,
,,Neogene,Miocene ,Serravallian,12.90,0.708841,0.708839,0.708842,2,16,
,,Neogene,Miocene ,Serravallian,12.95,0.708840,0.708839,0.708841,1,16,
,,Neogene,Miocene ,Serravallian,13.00,0.708839,0.708838,0.708841,1,16,
,,Neogene,Miocene ,Serravallian,13.05,0.708838,0.708837,0.708840,1,16,
,,Neogene,Miocene ,Serravallian,13.10,0.708838,0.708837,0.708839,1,16,
,,Neogene,Miocene ,Serravallian,13.15,0.708837,0.708836,0.708838,1,16,
,,Neogene,Miocene ,Serravallian,13.20,0.708836,0.708836,0.708837,1,16,
,,Neogene,Miocene ,Serravallian,13.25,0.708835,0.708835,0.708836,1,16,
,,Neogene,Miocene ,Serravallian,13.30,0.708834,0.708834,0.708835,1,16,
,,Neogene,Miocene ,Serravallian,13.35,0.708834,0.708833,0.708834,1,16,
,,Neogene,Miocene ,Serravallian,13.40,0.708833,0.708832,0.708834,1,16,
,,Neogene,Miocene ,Serravallian,13.45,0.708832,0.708831,0.708833,1,15,
,,Neogene,Miocene ,Serravallian,13.50,0.708831,0.708831,0.708832,1,15,
,,Neogene,Miocene ,Serravallian,13.55,0.708831,0.708830,0.708831,1,15,
,,Neogene,Miocene ,Serravallian,13.60,0.708830,0.708829,0.708830,1,16,
,,Neogene,Miocene ,Serravallian,13.65,0.708829,0.708829,0.708830,1,16,
,,Neogene,Miocene ,Serravallian,13.70,0.708828,0.708828,0.708829,1,16,
,,Neogene,Miocene ,Serravallian,13.75,0.708827,0.708827,0.708828,1,16,
,,Neogene,Miocene ,Serravallian,13.80,0.708827,0.708826,0.708827,1,17,
,,Neogene,Miocene ,Langhian,13.85,0.708826,0.708825,0.708826,1,17,
,,Neogene,Miocene ,Langhian,13.90,0.708825,0.708824,0.708825,1,18,
,,Neogene,Miocene ,Langhian,13.95,0.708824,0.708823,0.708825,1,19,
,,Neogene,Miocene ,Langhian,14.00,0.708823,0.708822,0.708824,1,19,
,,Neogene,Miocene ,Langhian,14.05,0.708822,0.708821,0.708823,1,20,
,,Neogene,Miocene ,Langhian,14.10,0.708821,0.708820,0.708822,1,21,
,,Neogene,Miocene ,Langhian,14.15,0.708820,0.708819,0.708821,1,22,
,,Neogene,Miocene ,Langhian,14.20,0.708819,0.708818,0.708820,1,23,
,,Neogene,Miocene ,Langhian,14.25,0.708818,0.708816,0.708819,1,24,
,,Neogene,Miocene ,Langhian,14.30,0.708816,0.708815,0.708817,1,25,
,,Neogene,Miocene ,Langhian,14.35,0.708815,0.708814,0.708816,1,26,
,,Neogene,Miocene ,Langhian,14.40,0.708814,0.708813,0.708815,1,27,
,,Neogene,Miocene ,Langhian,14.45,0.708812,0.708811,0.708813,1,28,
,,Neogene,Miocene ,Langhian,14.50,0.708811,0.708810,0.708812,1,30,
,,Neogene,Miocene ,Langhian,14.55,0.708809,0.708808,0.708810,1,31,
,,Neogene,Miocene ,Langhian,14.60,0.708808,0.708807,0.708809,1,32,
,,Neogene,Miocene ,Langhian,14.65,0.708806,0.708805,0.708807,1,34,
,,Neogene,Miocene ,Langhian,14.70,0.708804,0.708803,0.708805,1,35,
